author,category,content,country,description,publishedAt,source,title,url,urlToImage
DER SPIEGEL,general,"Vishal Garg ist offenbar ein Mann, der ohne große Vorrede zur Sache kommt. Der Chef des Kreditanbieters Better.com hat diese Eigenschaft in einem Video-Call mit Hunderten seiner Beschäftigten nun jed… [+2394 chars]",deu,"Vishal Garg ist Chef von Better.com. Auch weil er mit der Performance vieler seiner Beschäftigten unzufrieden war, warf er laut Medienberichten 900 von ihnen kurzerhand raus – in einem Zoom-Call.",2021-12-07T15:41:51Z,Spiegel Online,"Boss fires 900 workers via zoom call: ""If you're on this call, you're part of the unfortunate group that's being fired"" - DER SPIEGEL",https://www.spiegel.de/wirtschaft/unternehmen/vishal-garg-von-better-com-entlaesst-900-beschaeftige-per-zoom-call-wegen-unproduktivitaet-a-fd46cb2e-ed34-4986-919c-81b8ef7cc54c,https://cdn.prod.www.spiegel.de/images/2248148f-03f7-41bc-89a3-9e92fb5ec6ef_w1280_r1.77_fpx56.67_fpy45.jpg
,general,"Stand: 07.12.2021 16:53 Uhr
Im Live-Ticker informiert NDR.de Sie auch heute - am Dienstag, 7. Dezember 2021 - aktuell über die Folgen der Coronavirus-Pandemie für Niedersachsen, Schleswig-Holstein, … [+23672 chars]",deu,"Treffen mit anderen Menschen werden ihnen erschwert. In Läden gilt 2G, außer in Geschäften des täglichen Bedarfs. Mehr Corona-News im Live-Ticker.",2021-12-07T15:22:30Z,Www.ndr.de,Corona-Ticker: MV tightens rules for unvaccinated on Thursday - NDR.de,"https://www.ndr.de/nachrichten/info/Corona-Ticker-MV-verschaerft-Regeln-fuer-Ungeimpfte-am-Donnerstag,coronaliveticker1442.html",https://www.ndr.de/nachrichten/hamburg/zweig166_v-contentxl.jpg
Denise Bergert,general,"Denise Bergert
Whatsapp-Chats löschen sich nun auf Wunsch nach 24 Stunden, sieben Tagen oder drei Monaten automatisch.
Meta-Chef Mark Zuckerberg hat heute über Facebook ein neues Feature für Whatsa… [+1558 chars]",deu,"Whatsapp-Chats löschen sich nun auf Wunsch nach 24 Stunden, sieben Tagen oder drei Monaten automatisch.",2021-12-07T14:59:00Z,PC-WELT,Whatsapp: New time limits for self-deleting messages - PC-WELT,https://www.pcwelt.de/news/Whatsapp-Neue-Zeitlimits-fuer-selbstloeschende-Nachrichten-11149610.html,https://bilder.pcwelt.de/4323737_1000x500_r.jpg
Dominik Kaufmann,general,"Sony Interactive Entertainment verkündete heute den Release-Termin der „Uncharted: Legacy of Thieves Collection“. Am 28. Januar kommt das Remaster-Bundle für PS5 auf den Markt.
Die PC-Spieler müssen… [+2228 chars]",deu,"Sony Interactive Entertainment verkündete heute den Release-Termin der ""Uncharted: Legacy of Thieves Collection"". Am 28. Januar kommt das Remaster-Bundle für PS5 auf den Markt. Die PC-Spieler müssen…",2021-12-07T14:57:00Z,play3.de,Uncharted - Legacy of Thieves Collection: PS5 Date and Prices Announced - Preorder Trailer - play3.de,https://www.play3.de/2021/12/07/uncharted-legacy-of-thieves-collection-ps5-termin-und-preise-bekannt-preorder-trailer/,https://www.play3.de/wp-content/uploads/2021/12/Uncharted-Legacy-of-Thieves-Collection-Screenshot-4.jpg
tagesschau,general,"Das Infektionsschutzgesetz soll neu geregelt werden - im Bundestag lieferten sich die Parteien einen heftigen Schlagabtausch zur Teil-Impfpflicht. Aus Bayern kommt der Vorschlag, das Gehalt von Pfleg… [+4880 chars]",deu,"Das Infektionsschutzgesetz soll neu geregelt werden - im Bundestag lieferten sich die Parteien einen heftigen Schlagabtausch zur Teil-Impfpflicht. Aus Bayern kommt der Vorschlag, das Gehalt von Pflegern für mindestens ein Jahr zu verdoppeln.",2021-12-07T14:56:00Z,tagesschau.de,Bundestag: Heated debate on partial vaccination obligation | tagesschau.de - tagesschau.de,https://www.tagesschau.de/inland/infektionsschutzgesetz-bundestag-105.html,https://www.tagesschau.de/multimedia/bilder/bundestag-infektionsschutzgesetz-111~_v-original.jpg
Pauline Naethbohm,general,Charlène von Monaco (43) hat bereits seit längerer Zeit mit gesundheitlichen Problemen zu kämpfen. Während ihres Aufenthalts in Südafrika musste sie wegen einer Hals-Nasen-Ohren-Infektion mehrfach op… [+1614 chars],deu,Fürstin Charlène von Monaco plagen schon seit Längerem gesundheitliche Probleme. Jetzt gibt erstmals ihr Vater Mike Wittstock Auskunft über das Befinden seiner Tochter.,2021-12-07T14:55:00Z,BUNTE.de,Charlène of Monaco: Her father speaks about her condition for the first time - BUNTE.de,https://www.bunte.de/royals/fuerstenhaus-monaco/charlne-von-monaco-ihr-vater-spricht-ueber-erstmals-ueber-ihren-zustand.html,https://images.bstatic.de/MhQ0CgeZW3PW3Q44cQ2lyOB3v_U=/1200x630/filters:focal(629.5x350:649.5x370)/images/3835b326/cdfc/4ec1/8abe/afa402285f22.jpg
Sebastian Huld,general,"Dass in Olaf Scholz' Kabinett einschließlich Kanzler mehr Männer als Frauen sitzen, stößt auf Kritik. Auf der ntv.de exklusiv vorliegenden Liste der Staatssekretäre und -minister aus der SPD stehen d… [+3401 chars]",deu,"Dass in Olaf Scholz' Kabinett einschließlich Kanzler mehr Männer als Frauen sitzen, stößt auf Kritik. Auf der ntv.de exklusiv vorliegenden Liste der Staatssekretäre und -minister aus der SPD stehen dagegen mehr Frauen und jeder dritte ist aus dem Osten.",2021-12-07T14:53:36Z,N-tv.de,31-year-old becomes Minister of State: SPD makes nine women State Secretaries - n-tv NACHRICHTEN,https://www.n-tv.de/politik/SPD-macht-neun-Frauen-zu-Staatssekretaerinnen-article22983102.html,https://bilder3.n-tv.de/img/incoming/crop22983146/6641325643-cImg_16_9-w1200/211255350.jpg
,general,"Vor kurzem haben wir berichtet, dass der Tracker-Anbieter Tile von dem Unternehmen Life360 übernommen wird. Life360 ist eine Plattform, die sich auf das Tracking von Familienangehörigen konzentriert.… [+2641 chars]",deu,"Vor kurzem haben wir berichtet, dass der Tracker-Anbieter Tile von dem Unternehmen Life360 übernommen wird.",2021-12-07T14:27:02Z,Macerkopf.de,Life360: Tile buyer sells location data of its users ' Macerkopf - Macerkopf - Apple News from Cupertino,https://www.macerkopf.de/2021/12/07/life360-tile-kaeufer-ortungsdaten-nutzer/,https://www.macerkopf.de/wp-content/uploads/2021/11/tile.jpg
DER SPIEGEL,general,"Der bisherige Parlamentarische Geschäftsführer der SPD-Fraktion, Carsten Schneider, soll nach übereinstimmenden Medienberichten Beauftragter der Bundesregierung für die ostdeutschen Länder werden. Un… [+2708 chars]",deu,"Er galt als Kandidat für einen Ministerposten, nun soll Carsten Schneider sich einer anderen Aufgabe widmen. Seine bisherige Position soll Katja Mast übernehmen.",2021-12-07T14:24:56Z,Spiegel Online,Traffic light personnel: SPD politician Schneider to become East German Commissioner - DER SPIEGEL,https://www.spiegel.de/politik/deutschland/carsten-schneider-spd-soll-ostbeauftragter-werden-a-1f4eb785-dc1f-47d8-a27d-a7ea8cdd19ab,https://cdn.prod.www.spiegel.de/images/3ca8b055-467e-4642-9b94-dbdaedc4714c_w1280_r1.77_fpx41_fpy42.jpg
Redaktion,general,"<ul><li>US-Experte Anthony Fauci: Omikron ist ""nahezu sicher"" nicht schlimmer als Delta</li><li>Das RKI meldet am Dienstag eine gesunkene Sieben-Tage-Inzidenz</li><li>Die Omikron-Variante wird in imm… [+80137 chars]",deu,"Corona-News aus Deutschland & der Welt: Das RKI meldet eine sinkende Inzidenz, doch es gibt Zweifel. Strenge 3G-Kontrollen bei der Bahn.",2021-12-07T14:21:00Z,Berliner Morgenpost,Corona: RKI figures cause major doubts ++ Deutsche Bahn makes announcement - Berliner Morgenpost,https://www.morgenpost.de/vermischtes/article233991689/corona-rki-zahlen-impfpflicht-lauterbach-deutschland-lockdown-news.html,https://img.morgenpost.de/img/frontpage/crop233874291/8442607146-w820-cv16_9-q85/5FA6D8005EBF87BA.jpg
n-tv NACHRICHTEN,general,"Alzheimer ist die häufigste Form der Demenz. Bislang ist die Krankheit kaum therapierbar. Doch eine neue Studie weckt Hoffnung auf eine neue Behandlungsmöglichkeit - mit einem Medikament, das normale… [+3281 chars]",deu,"Alzheimer ist die häufigste Form der Demenz. Bislang ist die Krankheit kaum therapierbar. Doch eine neue Studie weckt Hoffnung auf eine neue Behandlungsmöglichkeit - mit einem Medikament, das normalerweise für etwas ganz anderes verwendet wird.",2021-12-07T13:49:27Z,N-tv.de,Study on dementia drugs: Viagra could help against Alzheimer's - n-tv NACHRICHTEN,https://www.n-tv.de/wissen/Viagra-koennte-gegen-Alzheimer-helfen-article22981655.html,https://bilder4.n-tv.de/img/incoming/crop19946471/1101321186-cImg_16_9-w1200/imago53424355h.jpg
dpa,general,Der Autozulieferer Bosch bündelt die Entwicklungsaktivitäten der übergreifend einsetzbaren Fahrzeugsoftware unter dem Dach der Tochtergesellschaft ETAS. Mit der neuen Aufstellung wolle das Unternehme… [+1312 chars],deu,Auf dem Weg zu einer Führungsposition bei Fahrzeugsoftware fasst Bosch seine Entwicklungsaktivitäten unter dem Dach seiner Tochtergesellschaft ETAS zusammen.,2021-12-07T13:35:00Z,heise online,Bosch outsources vehicle software development - heise online,https://www.heise.de/news/Bosch-lagert-Fahrzeugsoftware-Entwicklung-aus-6288361.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/3/2/2/8/4/2/7/bosch_softwareentwicklung_2-d31e6b66033cef96.jpg
WELT,general,"Der Fall Bakery Jatta schien eigentlich schon erledigt, nun wollen die Strafverfolger den Fußballer doch noch vor Gericht bringen. Mehr als zwei Jahre nach Beginn der kontroversen öffentlichen Debatt… [+6055 chars]",deu,Der Fall Bakery Jatta wird neu aufgerollt. Der gambische HSV-Profi wird wegen einer mutmaßlich gefälschten Identität angeklagt. Der Klub reagiert nur mit einem plakativen Tweet. Die Gegner des HSV haben nun juristische Optionen.,2021-12-07T13:33:58Z,DIE WELT,"HSV, Jatta: Lawyer says protest against match assessments promising - WELT",https://www.welt.de/sport/fussball/bundesliga/hamburger-sv/article235506412/HSV-Jatta-Protest-gegen-Spielwertungen-laut-Anwalt-Erfolg-versprechend.html,https://img.welt.de/img/sport/fussball/2-bundesliga/mobile235506428/4911354297-ci16x9-w1200/HSV-Profi-Bakery-Jatta.jpg
